_note,업로드 환자 더미. 전 진료과·성별·나이대·지역을 월별로 합침. 실제 병원 아님.
hospital_name,포레스트병원(가상)
hospital_type,안과 중심 종합병원(가상)
doctors,12
period_from,2025-08
period_to,2026-07

month,lasik,smile,icl,cataract,per_doctor,rev_ref,rev_cat,rev_other,inflow_ad,inflow_social,inflow_ref,inflow_ov,nat_dom,nat_cn,nat_jp,nat_other,consult,cash_in,cash_out,cash_net
2025-08,23,12,10,10,5,0.26,0.06,0.68,191,102,115,27,0.84,0.08,0.04,0.04,0.6,38652,30149,8503
2025-09,14,18,8,6,4,0.26,0.04,0.71,164,119,88,24,0.81,0.08,0.06,0.05,0.63,36022,28097,7925
2025-10,19,10,12,15,5,0.24,0.09,0.67,169,108,95,28,0.84,0.08,0.04,0.04,0.64,38030,29663,8367
2025-11,19,14,12,13,5,0.27,0.08,0.65,183,88,99,31,0.84,0.06,0.06,0.04,0.62,37945,29597,8348
2025-12,24,7,14,10,5,0.25,0.06,0.7,180,113,121,38,0.85,0.07,0.04,0.04,0.6,40198,31354,8844
2026-01,28,20,10,13,6,0.3,0.07,0.63,206,89,103,35,0.79,0.09,0.07,0.04,0.6,42577,33210,9367
2026-02,28,10,7,10,5,0.24,0.06,0.7,185,117,101,34,0.82,0.08,0.05,0.04,0.64,39424,30751,8673
2026-03,23,6,11,13,4,0.24,0.08,0.68,152,103,111,32,0.84,0.09,0.05,0.02,0.62,36431,28416,8015
2026-04,20,14,13,16,5,0.27,0.09,0.65,199,108,103,30,0.82,0.07,0.05,0.06,0.63,40782,31810,8972
2026-05,24,13,13,9,5,0.27,0.05,0.68,187,101,126,44,0.85,0.08,0.04,0.02,0.64,42419,33087,9332
2026-06,24,13,12,13,5,0.26,0.07,0.66,177,99,123,40,0.84,0.07,0.06,0.03,0.62,40822,31841,8981
2026-07,27,13,8,10,5,0.26,0.06,0.68,189,100,116,27,0.83,0.06,0.08,0.04,0.6,39090,30490,8600
