_note,업로드 더미. 재무흐름(현금유입·유출)과 환자통계(수술·유입). 실제 병원 아님.
hospital_name,업로드안과(가상)
hospital_type,강남권 시력교정·백내장 중심 안과
doctors,4
period_from,2025-08
period_to,2026-07

month,lasik,smile,icl,cataract,per_doctor,rev_ref,rev_cat,rev_other,inflow_ad,inflow_social,inflow_ref,inflow_ov,nat_dom,nat_cn,nat_jp,nat_other,consult,cash_in,cash_out,cash_net
2025-08,99,340,95,160,201,0.62,0.31,0.07,820,460,310,90,0.87,0.06,0.04,0.03,0.63,14540,11290,3250
2025-09,140,220,70,168,150,0.54,0.38,0.08,540,310,280,98,0.87,0.06,0.04,0.03,0.61,10814,8392,2422
2025-10,140,220,70,176,152,0.54,0.38,0.08,540,310,280,106,0.85,0.07,0.05,0.03,0.6399999999999999,10958,8504,2454
2025-11,140,220,70,184,154,0.54,0.38,0.08,540,310,280,114,0.85,0.07,0.05,0.03,0.58,11102,8616,2486
2025-12,140,220,70,192,156,0.54,0.38,0.08,540,310,280,122,0.84,0.08,0.05,0.03,0.61,11246,8728,2518
2026-01,210,340,95,160,201,0.62,0.31,0.07,820,460,310,130,0.83,0.08,0.06,0.03,0.63,14540,11290,3250
2026-02,210,340,95,168,203,0.62,0.31,0.07,820,460,310,138,0.83,0.08,0.06,0.03,0.63,14684,11402,3282
2026-03,140,220,70,176,152,0.54,0.38,0.08,540,310,280,146,0.82,0.09,0.06,0.03,0.61,10958,8504,2454
2026-04,140,220,70,184,154,0.54,0.38,0.08,540,310,280,154,0.82,0.09,0.06,0.03,0.6399999999999999,11102,8616,2486
2026-05,140,220,70,192,156,0.54,0.38,0.08,540,310,280,162,0.8,0.1,0.07,0.03,0.58,11246,8728,2518
2026-06,140,220,70,160,148,0.54,0.38,0.08,540,310,280,170,0.8,0.1,0.07,0.03,0.61,10670,8280,2390
2026-07,210,340,95,168,203,0.62,0.31,0.07,820,460,310,178,0.8,0.1,0.07,0.03,0.63,14684,11402,3282
